arquivo,asset_key,# nome_do_exercicio
,ABDUCAO_OMBRO_EM_PE,# Abducao de ombro em pe
,ABDUCAO_QUADRIL_FAIXA_JOELHOS,# Abducao de quadril com faixa
,ABDUCAO_QUADRIL_DECUBITO_LATERAL,# Abducao de quadril em decubito lateral
,AGACHAMENTO_ISOMETRICO_PAREDE,# Agachamento isometrico na parede
,AGACHAMENTO_PARCIAL_ASSISTIDO,# Agachamento parcial assistido
,ALONGAMENTO_CERVICAL_LATERAL_ASSISTIDO,# Alongamento cervical lateral assistido
,ALONGAMENTO_FLEXORES_QUADRIL_MEIO_AJOELHADO,# Alongamento de flexores de quadril em meio ajoelhado
,ALONGAMENTO_PANTURRILHA_PAREDE,# Alongamento de panturrilha na parede
,ALONGAMENTO_PEITORAL_PORTA,# Alongamento peitoral na porta
,ALONGAMENTO_PIRIFORME_DECUBITO_DORSAL,# Alongamento piriforme em decubito dorsal
,ALONGAMENTO_POSTERIOR_COXA_FAIXA,# Alongamento posterior de coxa com faixa
,APOIO_TANDEM_COM_APOIO,# Apoio tandem com apoio
,AVANCO_ASSISTIDO_CURTO_APOIO,# Avanco assistido curto com apoio
,BIRD_DOG_EXTENSAO_ALTERNADA,# Bird-dog / extensao alternada
,CAMINHADA_LATERAL_FAIXA,# Caminhada lateral com faixa
,CAMINHADA_PONTA_PES,# Caminhada na ponta dos pes
,CAMINHADA_CALCANHARES,# Caminhada nos calcanhares
,CIRCULOS_TORNOZELO_SENTADO,# Circulos de tornozelo sentado
,CLAMSHELL_ABERTURA_QUADRIL,# Clamshell / abertura de quadril
,CONTROLE_CERVICAL_PROFUNDO,# Controle cervical profundo
,DEAD_BUG_CONTROLE_LOMBOPELVICO,# Dead bug
,DESLIZAMENTO_CALCANHAR_DECUBITO,# Deslizamento de calcanhar
,DESLIZAMENTO_NEURAL_MEDIANO,# Deslizamento neural mediano
,DESVIO_RADIAL_ULNAR_PUNHO,# Desvio radial/ulnar de punho
